country,Year,inequality,inflation,GDP,Unemployment
Portugal,2019,0.32762748,0.3381784,34945.66,6.46
Portugal,2020,0.3466863,-0.01243833,32011.324,6.8
Portugal,2021,0.34592035,1.2656572,33636.44,6.58
Estonia,2003,0.37203822,1.3349912,22049.684,11.29
Estonia,2004,0.33564782,3.048111,23691.152,10.25
Estonia,2005,0.33448943,4.0797143,26096.988,8.03
Estonia,2006,0.33671072,4.4376206,28814.92,5.91
Estonia,2007,0.31180158,6.601326,31140.58,4.59
Estonia,2008,0.31917077,10.362358,29621.764,5.45
Estonia,2009,0.3144361,-0.07840831,25337.176,13.55
Estonia,2010,0.320012,2.9720452,26015.746,16.71
Estonia,2011,0.32491633,4.981901,27990.137,12.33
Estonia,2012,0.3291576,3.9334,28997.322,10.02
Estonia,2013,0.35079786,2.7805667,29525.12,8.63
Estonia,2014,0.34591556,-0.10617515,30494.096,7.35
Estonia,2015,0.3267033,-0.49232602,31038.805,6.19
Estonia,2016,0.31196827,0.1486849,32008.934,6.76
Estonia,2017,0.30355027,3.4172356,33821.934,5.76
Estonia,2018,0.30321452,3.436327,34979.867,5.37
Estonia,2019,0.30767542,2.2772593,36153.434,4.45
Estonia,2020,0.30737874,-0.44453108,35883.266,6.8
Estonia,2021,0.31834933,4.653167,38717.695,6.18
Spain,2003,0.31804666,3.0388885,36749.527,11.28
Spain,2004,0.33305293,3.0392487,37248.824,11.09
Spain,2005,0.32435638,3.368814,37962.418,9.15
Spain,2006,0.33545226,3.515576,38857.484,8.45
Spain,2007,0.34138834,2.7867975,39519.84,8.23
Spain,2008,0.34221572,4.075343,39239.387,11.25
Spain,2009,0.34926125,-0.2878131,37429.766,17.86
Spain,2010,0.35246837,1.7998645,37318.53,19.86
Spain,2011,0.35698605,3.196102,36883.324,21.39
Spain,2012,0.3540633,2.446128,35768.742,24.79
Spain,2013,0.36185166,1.4085811,35382.535,26.09
Spain,2014,0.36054415,-0.15111484,35983.81,24.44
Spain,2015,0.3618142,-0.50036573,37394.055,22.06
Spain,2016,0.35759893,-0.202598,38497.484,19.64
Spain,2017,0.34654546,1.9560764,39550.188,17.22
Spain,2018,0.3471895,1.6749814,40276.906,15.25
Spain,2019,0.34305838,0.699519,40782.234,14.1
Spain,2020,0.3486563,-0.322753,36051.418,15.53
Spain,2021,0.33887583,3.093135,38319.29,14.78
Turkey,2002,0.41396376,44.964123,14839.131,10.35
Turkey,2003,0.42184338,21.602438,15488.11,10.55
Turkey,2004,0.4128751,8.598262,16775.08,10.83
Turkey,2005,0.42614657,8.17916,18038.812,10.63
Turkey,2006,0.39647412,9.597242,19043.623,8.72
Turkey,2007,0.384428,8.756181,19845.336,8.87
Turkey,2008,0.3902054,10.444128,19755.465,9.71
Turkey,2009,0.3896531,6.2509766,18544.879,12.55
Turkey,2010,0.3878508,8.566444,19804.46,10.66
Turkey,2011,0.40039355,6.4718795,21701.701,8.8
Turkey,2012,0.40168938,8.89157,22452.844,8.15
Turkey,2013,0.401785,7.49309,24047.293,8.73
Turkey,2014,0.41236562,8.854572,24897.002,9.88
Turkey,2015,0.42854458,7.6708536,26061.832,10.24
Turkey,2016,0.41873705,7.775134,26568.02,10.84
